Sample	qseqid	stitle	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	qlen	qcovs
positive_control_5	18	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	361	0	0	1	361	25124	24764	0.0	667	115154	1799	20
positive_control_5	19	NC_042128.1 Escherichia phage RCS47, complete genome	99.512	820	4	0	187	1006	16766	15947	0.0	1493	115154	8951	9
positive_control_5	20	NC_042128.1 Escherichia phage RCS47, complete genome	99.512	820	4	0	187	1006	25583	24764	0.0	1493	115154	8951	9
positive_control_5	21	NC_050152.1 Enterobacteria phage P7, complete genome	98.485	132	1	1	4396	4527	93068	92938	6.23e-58	231	101660	8951	1
positive_control_5	22	NC_031129.1 Salmonella phage SJ46, complete genome	97.710	131	2	1	4397	4527	65115	64986	1.04e-55	224	103445	8951	1
positive_control_5	23	NC_049951.1 Enterobacteria phage O276, complete genome	99.187	123	1	0	4405	4527	29917	29795	3.75e-55	222	41969	8951	1
positive_control_5	24	NC_002166.1 Bacteriophage HK022, complete genome	99.187	123	1	0	4405	4527	27654	27532	3.75e-55	222	40751	8951	1
positive_control_5	25	NC_049951.1 Enterobacteria phage O276, complete genome	99.781	456	1	0	1	456	29465	29920	0.0	837	41969	1050	43
positive_control_5	26	NC_002166.1 Bacteriophage HK022, complete genome	99.781	456	1	0	1	456	27202	27657	0.0	837	40751	1050	43
positive_control_5	27	NC_050152.1 Enterobacteria phage P7, complete genome	99.342	456	3	0	1	456	92608	93063	0.0	826	101660	1050	43
positive_control_5	28	NC_031129.1 Salmonella phage SJ46, complete genome	99.558	453	2	0	1	453	64656	65108	0.0	826	103445	1050	43
positive_control_5	29	NC_049951.1 Enterobacteria phage O276, complete genome	99.841	629	1	0	1	629	29292	29920	0.0	1157	41969	1223	51
positive_control_5	30	NC_002166.1 Bacteriophage HK022, complete genome	99.841	629	1	0	1	629	27029	27657	0.0	1157	40751	1223	51
positive_control_5	31	NC_050152.1 Enterobacteria phage P7, complete genome	99.364	629	4	0	1	629	92435	93063	0.0	1140	101660	1223	51
positive_control_5	32	NC_031129.1 Salmonella phage SJ46, complete genome	99.042	626	6	0	1	626	64483	65108	0.0	1123	103445	1223	51
positive_control_5	33	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	365	0	0	1	365	16311	15947	0.0	675	115154	2403	15
positive_control_5	34	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	365	0	0	1	365	25128	24764	0.0	675	115154	2403	15
positive_control_5	35	NC_050152.1 Enterobacteria phage P7, complete genome	98.485	132	1	1	1281	1412	92938	93068	1.62e-58	231	101660	2353	6
positive_control_5	36	NC_031129.1 Salmonella phage SJ46, complete genome	97.710	131	2	1	1281	1411	64986	65115	2.72e-56	224	103445	2353	6
positive_control_5	37	NC_049951.1 Enterobacteria phage O276, complete genome	99.187	123	1	0	1281	1403	29795	29917	9.77e-56	222	41969	2353	5
positive_control_5	38	NC_002166.1 Bacteriophage HK022, complete genome	99.187	123	1	0	1281	1403	27532	27654	9.77e-56	222	40751	2353	5
positive_control_5	39	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	2477	2530	20948	21001	7.56e-14	84.2	41468	3684	1
positive_control_5	40	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	2477	2530	20864	20917	7.56e-14	84.2	39732	3684	1
positive_control_5	41	NC_049951.1 Enterobacteria phage O276, complete genome	99.781	456	1	0	1	456	29465	29920	0.0	837	41969	1050	43
positive_control_5	42	NC_002166.1 Bacteriophage HK022, complete genome	99.781	456	1	0	1	456	27202	27657	0.0	837	40751	1050	43
positive_control_5	43	NC_050152.1 Enterobacteria phage P7, complete genome	99.342	456	3	0	1	456	92608	93063	0.0	826	101660	1050	43
positive_control_5	44	NC_031129.1 Salmonella phage SJ46, complete genome	99.558	453	2	0	1	453	64656	65108	0.0	826	103445	1050	43
positive_control_5	45	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	2414	2467	21001	20948	5.05e-14	84.2	41468	2470	2
positive_control_5	46	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	2414	2467	20917	20864	5.05e-14	84.2	39732	2470	2
positive_control_5	47	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	1326	1379	21001	20948	1.15e-13	84.2	41468	5598	1
positive_control_5	48	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	1326	1379	20917	20864	1.15e-13	84.2	39732	5598	1
positive_control_5	49	NC_042128.1 Escherichia phage RCS47, complete genome	99.746	394	1	0	1	394	16373	16766	0.0	723	115154	2758	14
positive_control_5	50	NC_042128.1 Escherichia phage RCS47, complete genome	99.746	394	1	0	1	394	25190	25583	0.0	723	115154	2758	14
positive_control_5	51	NC_042128.1 Escherichia phage RCS47, complete genome	99.635	821	3	0	20	840	16767	15947	0.0	1500	115154	1242	66
positive_control_5	52	NC_042128.1 Escherichia phage RCS47, complete genome	99.635	821	3	0	20	840	25584	24764	0.0	1500	115154	1242	66
positive_control_5	53	NC_042128.1 Escherichia phage RCS47, complete genome	99.635	821	3	0	20	840	16767	15947	0.0	1500	115154	1242	66
positive_control_5	54	NC_042128.1 Escherichia phage RCS47, complete genome	99.635	821	3	0	20	840	25584	24764	0.0	1500	115154	1242	66
positive_control_5	55	NC_042128.1 Escherichia phage RCS47, complete genome	99.756	820	2	0	2543	3362	16766	15947	0.0	1504	115154	7436	11
positive_control_5	56	NC_042128.1 Escherichia phage RCS47, complete genome	99.756	820	2	0	2543	3362	25583	24764	0.0	1504	115154	7436	11
positive_control_5	57	NC_049951.1 Enterobacteria phage O276, complete genome	99.717	1059	3	0	121	1179	28862	29920	0.0	1941	41969	1335	79
positive_control_5	58	NC_002166.1 Bacteriophage HK022, complete genome	99.717	1059	3	0	121	1179	26599	27657	0.0	1941	40751	1335	79
positive_control_5	59	NC_050152.1 Enterobacteria phage P7, complete genome	99.432	1057	6	0	123	1179	92007	93063	0.0	1921	101660	1335	79
positive_control_5	60	NC_031129.1 Salmonella phage SJ46, complete genome	98.956	1054	11	0	123	1176	64055	65108	0.0	1888	103445	1335	79
positive_control_5	61	NC_031129.1 Salmonella phage SJ46, complete genome	99.822	1122	2	0	60	1181	62228	61107	0.0	2061	103445	4030	28
positive_control_5	62	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	59	0	0	1	59	108186	108244	1.37e-21	110	115154	4030	1
positive_control_5	63	NC_022749.1 Shigella phage SfIV, complete genome	95.385	65	3	0	1	65	35244	35180	6.35e-20	104	39758	4030	2
positive_control_5	64	NC_005856.1 Enterobacteria phage P1, complete genome	98.305	59	1	0	1	59	23335	23393	6.35e-20	104	94800	4030	1
positive_control_5	65	NC_031129.1 Salmonella phage SJ46, complete genome	99.911	1122	1	0	60	1181	62228	61107	0.0	2067	103445	4030	28
positive_control_5	66	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	59	0	0	1	59	108186	108244	1.37e-21	110	115154	4030	1
positive_control_5	67	NC_022749.1 Shigella phage SfIV, complete genome	95.385	65	3	0	1	65	35244	35180	6.35e-20	104	39758	4030	2
positive_control_5	68	NC_005856.1 Enterobacteria phage P1, complete genome	98.305	59	1	0	1	59	23335	23393	6.35e-20	104	94800	4030	1
positive_control_5	69	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	1911	1964	21001	20948	4.01e-14	84.2	41468	1967	3
positive_control_5	70	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	1911	1964	20917	20864	4.01e-14	84.2	39732	1967	3
positive_control_5	71	NC_042128.1 Escherichia phage RCS47, complete genome	99.635	821	3	0	20	840	16767	15947	0.0	1500	115154	2813	29
positive_control_5	72	NC_042128.1 Escherichia phage RCS47, complete genome	99.635	821	3	0	20	840	25584	24764	0.0	1500	115154	2813	29
positive_control_5	73	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	402	455	21001	20948	2.68e-14	84.2	41468	1323	4
positive_control_5	74	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	402	455	20917	20864	2.68e-14	84.2	39732	1323	4
positive_control_5	75	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	402	455	21001	20948	2.79e-14	84.2	41468	1375	4
positive_control_5	76	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	402	455	20917	20864	2.79e-14	84.2	39732	1375	4
positive_control_5	77	NC_050153.1 Escherichia phage vB_EcoM-Ro157c2YLVW, complete genome	95.840	601	25	0	153	753	26753	27353	0.0	972	80732	1166	52
positive_control_5	78	NC_024146.1 Enterobacteria phage 9g, complete genome	80.000	555	101	5	218	764	55574	55022	5.72e-110	401	56702	1166	47
positive_control_5	79	NC_019723.1 Enterobacteria phage HK630, complete genome	86.380	279	38	0	153	431	21335	21057	4.62e-81	305	47090	1166	24
positive_control_5	80	NC_019711.1 Enterobacteria phage HK629, complete genome	86.380	279	38	0	153	431	21335	21057	4.62e-81	305	47288	1166	24
positive_control_5	81	NC_001416.1 Enterobacteria phage lambda, complete genome	86.380	279	38	0	153	431	21523	21245	4.62e-81	305	48502	1166	24
positive_control_5	82	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	4619	4672	21001	20948	1.15e-13	84.2	41468	5598	1
positive_control_5	83	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	4619	4672	20917	20864	1.15e-13	84.2	39732	5598	1
positive_control_5	84	NC_042128.1 Escherichia phage RCS47, complete genome	99.756	821	2	0	2543	3363	25583	24763	0.0	1506	115154	3816	22
positive_control_5	85	NC_042128.1 Escherichia phage RCS47, complete genome	99.756	820	2	0	2543	3362	16766	15947	0.0	1504	115154	3816	22
positive_control_5	86	NC_031129.1 Salmonella phage SJ46, complete genome	99.911	1122	1	0	879	2000	62228	61107	0.0	2067	103445	6362	29
positive_control_5	87	NC_031129.1 Salmonella phage SJ46, complete genome	99.858	703	1	0	5660	6362	60265	59563	0.0	1295	103445	6362	29
positive_control_5	88	NC_042128.1 Escherichia phage RCS47, complete genome	99.462	744	3	1	136	878	107501	108244	0.0	1351	115154	6362	12
positive_control_5	89	NC_005856.1 Enterobacteria phage P1, complete genome	99.327	743	5	0	136	878	22651	23393	0.0	1345	94800	6362	12
positive_control_5	90	NC_022749.1 Shigella phage SfIV, complete genome	98.131	749	14	0	136	884	35928	35180	0.0	1306	39758	6362	12
positive_control_5	91	NC_042128.1 Escherichia phage RCS47, complete genome	99.878	821	1	0	20	840	16767	15947	0.0	1511	115154	2515	33
positive_control_5	92	NC_042128.1 Escherichia phage RCS47, complete genome	99.878	821	1	0	20	840	25584	24764	0.0	1511	115154	2515	33
positive_control_5	93	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	344	0	0	1	344	16290	15947	2.90e-180	636	115154	2317	15
positive_control_5	94	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	344	0	0	1	344	25107	24764	2.90e-180	636	115154	2317	15
positive_control_5	95	NC_031129.1 Salmonella phage SJ46, complete genome	99.785	932	2	0	1496	2427	61107	62038	0.0	1711	103445	2427	38
positive_control_5	96	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	402	455	21001	20948	4.39e-14	84.2	41468	2151	3
positive_control_5	97	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	402	455	20917	20864	4.39e-14	84.2	39732	2151	3
positive_control_5	98	NC_042128.1 Escherichia phage RCS47, complete genome	99.513	821	4	0	2770	3590	15947	16767	0.0	1495	115154	3609	23
positive_control_5	99	NC_042128.1 Escherichia phage RCS47, complete genome	99.513	821	4	0	2770	3590	24764	25584	0.0	1495	115154	3609	23
